TRADEDATE,fac_TOPEN,fac_THIGH,fac_TLOW,fac_TCLOSE,TVOLUME
2000-01-04 00:00:00.000,893.0132,946.5940,877.7044,933.3264,8216000
2000-01-05 00:00:00.000,936.3881,961.9028,918.5279,921.5896,9399300
2000-01-06 00:00:00.000,919.5485,972.1087,905.7705,958.3307,12022200
2000-01-07 00:00:00.000,969.5572,1008.8498,964.4543,997.1130,22934600
2000-01-10 00:00:00.000,1009.8704,1045.0806,1008.8498,1027.7306,18521000
2000-01-11 00:00:00.000,1028.2409,1030.7924,959.3513,969.5572,12666300
2000-01-12 00:00:00.000,969.5572,979.7631,925.1617,930.7749,9175200
2000-01-13 00:00:00.000,928.7337,938.9396,913.4249,925.6720,5005800
2000-01-14 00:00:00.000,925.6720,938.4293,905.7705,912.4043,5597200
2000-01-17 00:00:00.000,913.4249,923.6308,893.0132,922.6102,3450100
2000-01-18 00:00:00.000,918.5279,922.6102,897.0956,902.7088,4656300
2000-01-19 00:00:00.000,893.0132,910.8735,893.0132,907.8117,3781100
2000-01-20 00:00:00.000,908.3220,913.4249,895.5647,908.8323,5843700
2000-01-21 00:00:00.000,908.3220,931.7955,901.1779,916.4867,8626200
2000-01-24 00:00:00.000,913.9352,915.9764,877.7044,893.0132,11251600
2000-01-25 00:00:00.000,893.0132,933.3264,893.0132,904.2397,8371800
2000-01-26 00:00:00.000,904.2397,912.4043,893.0132,900.1573,4772300
2000-01-27 00:00:00.000,900.6676,927.2029,895.5647,912.9146,7356900
2000-01-28 00:00:00.000,918.5279,948.1249,901.1779,945.5734,16736600
2000-02-14 00:00:00.000,979.7631,1039.9777,954.2484,1039.4674,23370900
2000-02-15 00:00:00.000,1046.1012,1072.1261,974.6601,992.0101,35073200
2000-02-16 00:00:00.000,984.8660,984.8660,947.1043,960.8822,21539200
2000-02-17 00:00:00.000,960.8822,1004.7674,930.2646,959.3513,35884100
2000-02-18 00:00:00.000,958.8410,958.8410,926.1823,939.4499,13929300
2000-02-21 00:00:00.000,939.4499,995.0719,918.5279,964.9646,23791600
2000-02-22 00:00:00.000,969.5572,982.3145,928.7337,931.2852,12488800
